sheet_name,rows,cols,header_row_index,year_count,first_year,last_year,entity_row_count,sample_entities,top_entities_latest_year,has_growth_info,has_share_info
Contents,122,1,,0,,,0,[],[],False,False
Total Energy Supply (TES) -EJ,124,64,2.0,60,1965.0,2024.0,111,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 592.2167427614952}, {'entity': 'Non-OECD', 'value': 374.40585677841466}, {'entity': 'Total Asia Pacific', 'value': 279.23931649652553}, {'entity': 'of which: OECD', 'value': 217.81088598308077}, {'entity': 'China', 'value': 158.88335297588344}]",True,True
TES by fuel,99,15,,0,,,0,[],[],False,False
TES per Capita,124,63,2.0,60,1965.0,2024.0,111,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Iceland', 'value': 787.6481884060856}, {'entity': 'Qatar', 'value': 768.4975950190207}, {'entity': 'Singapore', 'value': 649.1911716226884}, {'entity': 'United Arab Emirates', 'value': 496.51150330045544}, {'entity': 'Kuwait', 'value': 382.95144049557183}]",True,False
CO2 from Energy,123,64,2.0,60,1965.0,2024.0,110,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 35491.80171584641}, {'entity': 'Non-OECD', 'value': 24419.585094215065}, {'entity': 'Total Asia Pacific', 'value': 19065.673663713824}, {'entity': 'China', 'value': 11172.8455991745}, {'entity': 'of which: OECD', 'value': 11072.216621631364}]",True,True
Natural Gas Flaring,88,54,2.0,50,1975.0,2024.0,75,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Bolivia', 'Brazil', 'Colombia', 'Peru', 'Trinidad & Tobago']","[{'entity': 'Total World', 'value': 158.79116359037042}, {'entity': 'Non-OECD', 'value': 136.06982594005672}, {'entity': 'Total Middle East', 'value': 47.94363273374305}, {'entity': 'Total Africa', 'value': 32.779490608621266}, {'entity': 'Total CIS', 'value': 31.629846997040335}]",True,True
CO2 from Flaring,88,54,2.0,50,1975.0,2024.0,75,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Bolivia', 'Brazil', 'Colombia', 'Peru', 'Trinidad & Tobago']","[{'entity': 'Total World', 'value': 320.69463398711207}, {'entity': 'Non-OECD', 'value': 274.8066204685387}, {'entity': 'Total Middle East', 'value': 96.82696066906747}, {'entity': 'Total Africa', 'value': 66.2014592331715}, {'entity': 'Total CIS', 'value': 63.879638995222685}]",True,True
"CO2-Process Emissions, Methane",125,39,2.0,35,1990.0,2024.0,112,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 4999.936053838658}, {'entity': 'Non-OECD', 'value': 4106.950212892722}, {'entity': 'Total Asia Pacific', 'value': 2181.4992145613137}, {'entity': 'China', 'value': 1355.7755425192463}, {'entity': 'of which: OECD', 'value': 892.9858409459387}]",True,True
CO2e Emissions ,112,39,2.0,35,1990.0,2024.0,100,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 40812.43244649893}, {'entity': 'Non-OECD', 'value': 28801.341957615197}, {'entity': 'Total Asia Pacific', 'value': 21268.722956883237}, {'entity': 'China', 'value': 12533.39091014862}, {'entity': 'of which: OECD', 'value': 12011.09048888374}]",True,True
CCUS Capture Capacity,40,29,2.0,25,2000.0,2024.0,28,"['Canada', 'Mexico', 'US', 'Total North America', 'Brazil', 'Total S. & Cent. America', 'Norway', 'Other Europe', 'Total Europe', 'Russia']","[{'entity': 'Total World', 'value': 57.824}, {'entity': 'of which: OECD', 'value': 36.171}, {'entity': 'Total North America', 'value': 28.148}, {'entity': 'US', 'value': 24.136}, {'entity': 'Non-OECD', 'value': 21.653}]",True,True
Carbon Prices,18,10,,0,,,0,[],[],False,False
Oil - Proved reserves,103,8,,0,,,0,[],[],False,False
Oil - Proved reserves history,104,45,4.0,41,1980.0,2020.0,90,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Colombia', 'Ecuador', 'Peru', 'Trinidad & Tobago']","[{'entity': 'USSR', 'value': nan}, {'entity': 'Total World', 'value': 1732.3661753656183}, {'entity': 'Non-OECD', 'value': 1472.403482093942}, {'entity': 'OPEC', 'value': 1214.669745}, {'entity': 'Total Middle East', 'value': 835.941691}]",True,True
Oil Production - barrels,90,64,2.0,60,1965.0,2024.0,79,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Colombia', 'Ecuador', 'Guyana', 'Peru']","[{'entity': 'Total World', 'value': 96889.96880714301}, {'entity': 'Non-OECD', 'value': 64931.69362855822}, {'entity': 'Non-OPEC', 'value': 64091.92190885414}, {'entity': 'OPEC', 'value': 32798.04689828892}, {'entity': 'of which: OECD', 'value': 31958.275178584816}]",True,True
Oil Production - tonnes,90,64,2.0,60,1965.0,2024.0,78,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Colombia', 'Ecuador', 'Guyana', 'Peru']","[{'entity': 'Total World', 'value': 4542.6526654354375}, {'entity': 'Non-OECD', 'value': 3106.626065459344}, {'entity': 'Non-OPEC', 'value': 2999.243275860708}, {'entity': 'OPEC', 'value': 1543.409389574731}, {'entity': 'of which: OECD', 'value': 1436.0265999760943}]",True,True
Crude+cond production - barrels,87,29,2.0,25,2000.0,2024.0,74,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Colombia', 'Ecuador', 'Guyana', 'Peru']","[{'entity': 'Total World', 'value': 82788.47113747009}, {'entity': 'Non-OECD', 'value': 59043.15631320576}, {'entity': 'Non-OPEC', 'value': 53932.527084114125}, {'entity': 'OPEC', 'value': 28855.944053355943}, {'entity': 'Total Middle East', 'value': 26119.782900212478}]",True,True
NGLs production - barrels,86,29,2.0,25,2000.0,2024.0,75,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Colombia', 'Ecuador', 'Guyana', 'Peru']","[{'entity': 'Total World', 'value': 14101.497669672955}, {'entity': 'Non-OPEC', 'value': 10159.39482473998}, {'entity': 'of which: OECD', 'value': 8212.960354320481}, {'entity': 'Total North America', 'value': 7845.913329205081}, {'entity': 'US', 'value': 6941.401639344263}]",True,True
Liquids Consumption - barrels,123,64,2.0,60,1965.0,2024.0,111,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 104710.15670790983}, {'entity': 'Non-OECD', 'value': 58025.71386630011}, {'entity': 'of which: OECD', 'value': 46684.44284160956}, {'entity': 'Total Asia Pacific', 'value': 39037.311300176094}, {'entity': 'Total North America', 'value': 24588.42649393996}]",True,True
Oil Consumption - barrels,123,64,2.0,60,1965.0,2024.0,111,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 101417.98875886263}, {'entity': 'Non-OECD', 'value': 56657.62680562601}, {'entity': 'of which: OECD', 'value': 44760.361953236585}, {'entity': 'Total Asia Pacific', 'value': 38436.066976577305}, {'entity': 'Total North America', 'value': 23181.507340751712}]",True,True
Oil Consumption - Tonnes,123,64,2.0,60,1965.0,2024.0,110,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 4588.779566863233}, {'entity': 'Non-OECD', 'value': 2592.3314012961555}, {'entity': 'of which: OECD', 'value': 1996.448165567076}, {'entity': 'Total Asia Pacific', 'value': 1760.2975201230518}, {'entity': 'Total North America', 'value': 997.8592526023181}]",True,True
Oil Consumption - EJ,124,64,2.0,60,1965.0,2024.0,111,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 199.05150387100002}, {'entity': 'Non-OECD', 'value': 111.81185494027159}, {'entity': 'of which: OECD', 'value': 87.23964893072844}, {'entity': 'Total Asia Pacific', 'value': 75.85253853649192}, {'entity': 'Total North America', 'value': 43.77171349525452}]",True,True
Oil - Regional Consumption,216,64,2.0,60,1965.0,2024.0,195,"['North America', 'Light distillates', 'of which: gasoline', 'of which: naphtha', 'Middle distillates', 'of which: diesel/gasoil', 'of which: jet/kerosene', 'Fuel oil', 'Others', 'of which: ethane and LPG']","[{'entity': 'North America', 'value': nan}, {'entity': 'Total North America', 'value': 23181.507340751712}, {'entity': 'Total Europe', 'value': 14128.090112526537}, {'entity': 'Light distillates', 'value': 9580.65658454332}, {'entity': 'of which: gasoline', 'value': 9360.982085924545}]",True,True
Spot crude prices,63,5,,0,,,0,[],[],False,False
Oil crude prices since 1861,174,4,,0,,,0,[],[],False,False
Oil refinery - throughput,108,49,2.0,45,1980.0,2024.0,97,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Curacao', 'Ecuador']","[{'entity': 'Total World', 'value': 82970.62675464498}, {'entity': 'Non-OECD', 'value': 46655.190043465926}, {'entity': 'of which: OECD', 'value': 36315.43671117905}, {'entity': 'Total Asia Pacific', 'value': 30490.845441033773}, {'entity': 'Total North America', 'value': 18870.707290881677}]",True,True
Oil refinery - capacity,108,64,2.0,60,1965.0,2024.0,97,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Curacao', 'Ecuador']","[{'entity': 'Total World', 'value': 104523.18375604993}, {'entity': 'Non-OECD', 'value': 60986.803071118404}, {'entity': 'of which: OECD', 'value': 43536.3806849315}, {'entity': 'Total Asia Pacific', 'value': 37689.70742191781}, {'entity': 'Total North America', 'value': 21927.999999999996}]",True,True
Oil - Regional refining margins,35,4,,0,,,0,[],[],False,False
Oil trade movements,36,49,2.0,45,1980.0,2024.0,33,"['Imports', 'US', 'Europe', 'China', 'India', 'Japan', 'Rest of World', 'Total World', 'Exports', 'Canada']","[{'entity': 'Imports', 'value': nan}, {'entity': 'Total World', 'value': 69438.04067224289}, {'entity': 'Exports', 'value': nan}, {'entity': 'Total World', 'value': 69438.04067224289}, {'entity': 'Rest of World', 'value': 24704.549762317703}]",True,True
Oil - Inter-area movements,55,17,,0,,,0,[],[],False,False
Oil - Trade movements in 23-24,56,9,,0,,,0,[],[],False,False
Gas - Proved reserves,95,8,,0,,,0,[],[],False,False
Gas - Proved reserves history,96,45,4.0,41,1980.0,2020.0,82,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Bolivia', 'Brazil', 'Colombia', 'Peru', 'Trinidad & Tobago']","[{'entity': 'Total World', 'value': 188.07422608745472}, {'entity': 'Russian Federation', 'value': 37.391524354530056}, {'entity': 'USSR', 'value': nan}, {'entity': 'Non-OECD', 'value': 167.79453220375}, {'entity': 'Total Middle East', 'value': 75.80692082396591}]",True,True
Gas Production - Bcm,89,59,2.0,55,1970.0,2024.0,76,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Bolivia', 'Brazil', 'Colombia', 'Peru', 'Trinidad & Tobago']","[{'entity': 'Total World', 'value': 4124.451625825785}, {'entity': 'Non-OECD', 'value': 2502.6452273649056}, {'entity': 'of which: OECD', 'value': 1621.8063984608796}, {'entity': 'Total North America', 'value': 1262.927405262908}, {'entity': 'US', 'value': 1033.0043940083526}]",True,True
Gas Production - bcf,88,59,2.0,55,1970.0,2024.0,76,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Bolivia', 'Brazil', 'Colombia', 'Peru', 'Trinidad & Tobago']","[{'entity': 'Total World', 'value': 397.9607022947551}, {'entity': 'Non-OECD', 'value': 241.47560515450292}, {'entity': 'of which: OECD', 'value': 156.48509714025215}, {'entity': 'Total North America', 'value': 121.85752743435108}, {'entity': 'US', 'value': 99.67268170609798}]",True,True
Gas Production - EJ,87,59,2.0,55,1970.0,2024.0,74,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Bolivia', 'Brazil', 'Colombia', 'Peru', 'Trinidad & Tobago']","[{'entity': 'Total World', 'value': 148.48025959161168}, {'entity': 'Non-OECD', 'value': 90.09522795119847}, {'entity': 'of which: OECD', 'value': 58.38503164041322}, {'entity': 'Total North America', 'value': 45.46538829803467}, {'entity': 'US', 'value': 37.18815994262695}]",True,True
Gas Consumption - Bcm,127,64,2.0,60,1965.0,2024.0,114,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 4127.827067502332}, {'entity': 'Non-OECD', 'value': 2343.9541245637533}, {'entity': 'of which: OECD', 'value': 1783.8729429385778}, {'entity': 'Total North America', 'value': 1130.9891302836259}, {'entity': 'Total Asia Pacific', 'value': 972.6523457985247}]",True,True
Gas Consumption - Bcf,125,64,2.0,60,1965.0,2024.0,113,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 398.2863924135922}, {'entity': 'Non-OECD', 'value': 226.1637944102002}, {'entity': 'of which: OECD', 'value': 172.12259800339197}, {'entity': 'Total North America', 'value': 109.12704752241832}, {'entity': 'Total Asia Pacific', 'value': 93.84942429652627}]",True,True
Gas Consumption - EJ,125,64,2.0,60,1965.0,2024.0,112,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 148.6017727008002}, {'entity': 'Non-OECD', 'value': 84.38234740625194}, {'entity': 'of which: OECD', 'value': 64.21942529454827}, {'entity': 'Total North America', 'value': 40.71560788154602}, {'entity': 'Total Asia Pacific', 'value': 35.01548423944041}]",True,True
Gas - H2 Production Capacity,57,29,2.0,25,2000.0,2024.0,43,"['North America', 'Blue', 'Green', 'Total North America', 'S. & Cent. America', 'Blue', 'Green', 'Total S. & Cent. America', 'Europe', 'Blue']","[{'entity': 'North America', 'value': nan}, {'entity': 'Total North America', 'value': 2462.665749}, {'entity': 'S. & Cent. America', 'value': nan}, {'entity': 'Europe', 'value': nan}, {'entity': 'CIS', 'value': nan}]",True,True
Gas Prices ,56,19,,0,,,0,[],[],False,False
Gas - Trade movements,115,29,2.0,25,2000.0,2024.0,110,"['US', 'Pipeline imports', 'LNG imports', 'Total imports', 'Pipeline exports', 'LNG exports*', 'Total exports', 'Other North America', 'Pipeline imports', 'LNG imports']","[{'entity': 'US', 'value': nan}, {'entity': 'Total exports', 'value': 206.23788026354183}, {'entity': 'Other North America', 'value': nan}, {'entity': 'Brazil', 'value': nan}, {'entity': 'Other S&C America', 'value': nan}]",True,True
Gas - LNG imports bcm,44,29,2.0,25,2000.0,2024.0,40,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Other S. & Cent. America', 'Total S. & Cent. America', 'Belgium']","[{'entity': 'Total World', 'value': 544.1164184795321}, {'entity': 'Total Asia Pacific', 'value': 375.4732289553738}, {'entity': 'Total Europe', 'value': 133.52162588089956}, {'entity': 'China', 'value': 105.1885969641741}, {'entity': 'Japan', 'value': 88.963372025}]",True,True
Gas - LNG exports bcm,38,29,2.0,25,2000.0,2024.0,34,"['US', 'Peru', 'Trinidad & Tobago', 'Other Americas*', 'Total Americas', 'Russian Federation', 'Norway', 'Other Europe*', 'Total Europe & CIS', 'Oman']","[{'entity': 'Total LNG exports', 'value': 544.1164184795322}, {'entity': 'Total Asia Pacific', 'value': 178.2165072372436}, {'entity': 'Total Middle East', 'value': 131.4585124543469}, {'entity': 'Total Americas', 'value': 130.55706514210817}, {'entity': 'US', 'value': 115.19612062293113}]",True,True
Gas trade 2024 - LNG,43,24,,0,,,0,[],[],False,False
Gas trade 2024 - pipeline,37,23,,0,,,0,[],[],False,False
Coal - Reserves,76,7,,0,,,0,[],[],False,False
Coal Production - mt,70,48,2.0,44,1981.0,2024.0,57,"['Canada', 'Mexico', 'US', 'Total North America', 'Brazil', 'Colombia', 'Venezuela', 'Other S. & Cent. America', 'Total S. & Cent. America', 'Bulgaria']","[{'entity': 'Total World', 'value': 9241.507281521403}, {'entity': 'Non-OECD', 'value': 7894.556284195925}, {'entity': 'Total Asia Pacific', 'value': 7417.092126322614}, {'entity': 'China', 'value': 4780.0}, {'entity': 'of which: OECD', 'value': 1346.9509973254765}]",True,True
Coal Production - EJ,70,48,2.0,44,1981.0,2024.0,57,"['Canada', 'Mexico', 'US', 'Total North America', 'Brazil', 'Colombia', 'Venezuela', 'Other S. & Cent. America', 'Total S. & Cent. America', 'Bulgaria']","[{'entity': 'Total World', 'value': 182.22597647216753}, {'entity': 'Non-OECD', 'value': 153.40361148999364}, {'entity': 'Total Asia Pacific', 'value': 146.38886741096212}, {'entity': 'China', 'value': 94.48208618164062}, {'entity': 'of which: OECD', 'value': 28.822364982173895}]",True,True
Coal Consumption - EJ,124,64,2.0,60,1965.0,2024.0,111,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 165.06194323611277}, {'entity': 'Non-OECD', 'value': 140.6602840228207}, {'entity': 'Total Asia Pacific', 'value': 137.6276450403966}, {'entity': 'China', 'value': 92.15750122070312}, {'entity': 'of which: OECD', 'value': 24.401659213292078}]",True,True
Coal & Uranium - Prices,53,10,,0,,,0,[],[],False,False
Coal - Trade movements,39,29,2.0,25,2000.0,2024.0,35,"['Imports', 'Canada', 'Mexico', 'US', 'S. & Cent. America', 'Europe', 'CIS', 'Middle East', 'Africa', 'China']","[{'entity': 'Imports', 'value': nan}, {'entity': 'Total World', 'value': 35.99359895143211}, {'entity': 'Exports', 'value': nan}, {'entity': 'Total World', 'value': 35.99359895143211}, {'entity': 'China', 'value': 11.61644160218221}]",True,True
Coal trade movements 2024,22,15,,0,,,0,[],[],False,False
Nuclear Generation - TWh,122,64,2.0,60,1965.0,2024.0,109,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 2817.452320594309}, {'entity': 'of which: OECD', 'value': 1881.010534451795}, {'entity': 'Non-OECD', 'value': 936.4417861425144}, {'entity': 'Total North America', 'value': 920.9104922010796}, {'entity': 'US', 'value': 823.1362336842104}]",True,True
Nuclear Consumption - EJ,124,64,2.0,60,1965.0,2024.0,110,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 30.735843497392462}, {'entity': 'of which: OECD', 'value': 20.520114921292308}, {'entity': 'Non-OECD', 'value': 10.215728576100155}, {'entity': 'Total North America', 'value': 10.046296278557232}, {'entity': 'US', 'value': 8.97966800382775}]",True,True
